"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","1uF 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","D1, D4, D6","3","BYX10","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"3","D2, D3, D5, D7, D8, D9","6","LED","LED_THT:LED_D4.0mm",""
"4","J1, J3","2","Screw_Terminal","Connector_Phoenix_GMSTB:PhoenixContact_GMSTBA_2,5_5-G_1x05_P7.50mm_Horizontal",""
"5","J2","1","Conn_02x20","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
"6","K1, K2, K3","3","G5LE-1","Relay_THT:Relay_SPDT_Omron-G5LE-1",""
"7","Q1, Q2, Q3","3","BD263","Package_TO_SOT_THT:TO-126-3_Vertical",""
"8","Q4, Q5, Q6, Q7, Q8, Q9","6","BC182","Package_TO_SOT_THT:TO-92_HandSolder",""
"9","R1, R4, R6, R20, R23, R25","6","1.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"10","R2, R3, R5","3","1.0k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"11","R7, R8, R9, R12, R13, R14, R16, R17, R18","9","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"12","R10, R11, R15","3","3.6k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"13","R19","1","2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"14","R21, R22, R24","3","3.3k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"15","SW1","1","SW_Push","Button_Switch_THT:SW_CW_GPTS203211B",""
